fsq_category_id,cluster_id
Abruzzo Restaurant,211
Cretan Restaurant,211
Addiction Treatment Center,5
Domestic Abuse Treatment Center,5
Adult Education,115
Education,115
Advertising Agency,69
Online Advertising Service,69
"Print, TV, Radio and Outdoor Advertising Service",69
Promotional Item Service,69
Search Engine Marketing and Optimization Service,69
Afghan Restaurant,186
Iraqi Restaurant,186
Syrian Restaurant,186
Agriculture and Forestry Service,128
Agriturismo,128
Farm,128
Farmers Market,128
Airfield,28
Plane,28
Airport,117
Airport Service,117
Airport Terminal,117
International Airport,117
Airport Food Court,86
Food Court,86
Airport Tram Station,118
Light Rail Station,118
Metro Station,118
Rail Station,118
Tram Station,118
Alsatian Restaurant,232
Aosta Restaurant,232
Auvergne Restaurant,232
Betawinese Restaurant,232
Bunsik Restaurant,232
Fondue Restaurant,232
Henan Restaurant,232
Janguh Restaurant,232
Kaiseki Restaurant,232
Kokoreç Restaurant,232
Kumpir Restaurant,232
Kumru Restaurant,232
Kushikatsu Restaurant,232
Ligurian Restaurant,232
Manadonese Restaurant,232
Molise Restaurant,232
Parsi Restaurant,232
Patsa Restaurant,232
Provençal Restaurant,232
Puglia Restaurant,232
Restaurant,232
Rhenisch Restaurant,232
Satay Restaurant,232
Som Tum Restaurant,232
Teishoku Restaurant,232
Tuscan Restaurant,232
Udupi Restaurant,232
Unagi Restaurant,232
Varenyky Restaurant,232
Alternative Medicine Clinic,179
Healthcare Clinic,179
Medical Center,179
Ambulance Service,58
Emergency Room,58
Emergency Service,58
Rescue Service,58
American Restaurant,185
New American Restaurant,185
Amusement Park,32
Carnival,32
Anesthesiologist,159
Dermatologist,159
Pathologist,159
Antique Store,199
Vintage and Thrift Store,199
Apres Ski Bar,162
Ski Chalet,162
Ski Lodge,162
Ski Resort and Area,162
Ski Store,162
Ski Trail,162
Armenian Restaurant,181
Turkish Coffeehouse,181
Turkish Home Cooking Restaurant,181
Turkish Restaurant,181
Art Gallery,205
Art Museum,205
Art Studio,205
Exhibit,205
History Museum,205
Museum,205
Public Art,205
Assisted Living,60
Assisted Living Service,60
Athletic Field,136
Sporting Event,136
Auditorium,167
College Auditorium,167
Austrian Restaurant,223
Bavarian Restaurant,223
German Pop-Up Restaurant,223
German Restaurant,223
Automotive Repair Shop,182
Automotive Retail,182
Automotive Shop,182
Motorsports Store,182
BBQ Joint,18
Bratwurst Joint,18
Burger Joint,18
Currywurst Joint,18
Sandwich Spot,18
Badminton Court,142
College Tennis Court,142
Tennis,142
Tennis Court,142
Baggage Claim,122
Baggage Locker,122
Luggage Store,122
Ballroom,56
Dance Hall,56
Dance Store,56
Dance Studio,56
Bangladeshi Restaurant,224
Bengali Restaurant,224
Bank,82
Banking and Finance,82
Bar,197
Hookah Bar,197
Sake Bar,197
Tiki Bar,197
Barbershop,16
Hair Removal Service,16
Hair Salon,16
Nail Salon,16
Baseball,140
Baseball Field,140
Baseball Club,139
Baseball Stadium,139
Basketball,76
Basketball Club,76
Basketball Court,76
Basketball Stadium,76
College Basketball Court,76
Basque Restaurant,215
Catalan Restaurant,215
Franconian Restaurant,215
Bath House,19
Bathing Area,19
Bathroom Contractor,19
Public Bathroom,19
Beach,106
Nudist Beach,106
Bed and Breakfast,8
Breakfast Spot,8
Beer Bar,198
Cocktail Bar,198
Beer Festival,149
Beer Garden,149
Beer Store,196
Liquor Store,196
Beijing Restaurant,233
Hunan Restaurant,233
Jiangsu Restaurant,233
Jiangxi Restaurant,233
Shandong Restaurant,233
Shanghai Restaurant,233
Szechuan Restaurant,233
Tianjin Restaurant,233
Yunnan Restaurant,233
Zhejiang Restaurant,233
Belgian Restaurant,209
Eastern European Restaurant,209
Modern European Restaurant,209
Betting Shop,39
Lottery Retailer,39
Bicycle Store,31
Bike Rental,31
Bingo Center,17
Casino,17
Bistro,213
Botanero,213
Caterer,213
Cemevi,213
Cigkofte Place,213
Creperie,213
Deli,213
Dizi Place,213
Estaminet,213
Friterie,213
Gastropub,213
Gozleme Place,213
Jegaraki,213
Kafenio,213
Lodging,213
Meadery,213
Ouzeri,213
Pastelaria,213
Piadineria,213
Pide Place,213
Pizzeria,213
Podiatrist,213
Söğüş Place,213
Terreiro,213
Trattoria,213
Well,213
Wholesaler,213
Çöp Şiş Place,213
Boat Rental,41
Canoe and Kayak Rental,41
Boat or Ferry,42
Harbor or Marina,42
Bookstore,152
College Bookstore,152
College Library,152
Library,152
Used Bookstore,152
Bosnian Restaurant,206
Bulgarian Restaurant,206
Botanical Garden,165
Garden,165
Garden Center,165
Boutique,200
Convenience Store,200
Department Store,200
Discount Store,200
